run,roc_auc,pr_auc
1,0.5402783036728512,0.3889042161193703
2,0.6402877697841727,0.45175589361265384
3,0.4873627413858386,0.36135385097118145
4,0.5001183263915183,0.38895353740007643
5,0.5178199545626656,0.369376656941386
6,0.459272056039379,0.3244302482089306
7,0.4658273381294964,0.3444872322089243
8,0.4669159409314654,0.3443841963337706
9,0.5297472548277168,0.4076653123766256
10,0.47967152593714507,0.3583674336954972
11,0.4558169254070428,0.33845414519672
12,0.5441594093146536,0.3839877912158947
13,0.6064700870882241,0.4321081340106604
14,0.47574308973873525,0.3326251844244673
15,0.5062003029155623,0.350220238322975
16,0.5380537675123059,0.385166208347812
17,0.4830556607345703,0.3486721894244694
18,0.598589549413101,0.45598270813607644
19,0.376088602801969,0.28149570049035516
20,0.5367758424839076,0.39787193749627253
21,0.46443108670957967,0.33315798213051034
22,0.4471790988262022,0.33949309141124695
23,0.5383614161302537,0.39253194553759463
24,0.5142938280954183,0.3491127403633224
25,0.5354269216205984,0.3695631313407297
